Player,Height,Foot,International matches,Goals,Country,TM_Position,Pos,Value_M,Age
Nathan Ngoy,"1,83m",right,6,0,Belgium,Centre-Back,DF,25.0,23
Koni De Winter,"1,91m",right,8,0,Belgium,Centre-Back,DF,23.0,24
Arthur Theate,"1,85m",left,35,1,Belgium,Centre-Back,DF,17.0,26
Brandon Mechele,"1,90m",right,12,1,Belgium,Centre-Back,DF,2.8,33
Maxim De Cuyper,"1,82m",left,22,4,Belgium,Left-Back,DF,22.0,25
Joaquin Seys,"1,78m",left,5,0,Belgium,Left-Back,DF,20.0,21
Timothy Castagne,"1,85m",right,66,2,Belgium,Right-Back,DF,8.0,30
Thomas Meunier,"1,90m",right,82,10,Belgium,Right-Back,DF,1.5,34
Amadou Onana,"1,95m",right,31,1,Belgium,Defensive Midfield,MF,45.0,24
Nicolas Raskin,"1,78m",right,16,2,Belgium,Defensive Midfield,MF,12.0,25
Axel Witsel,"1,86m",right,138,12,Belgium,Defensive Midfield,MF,1.2,37
Youri Tielemans,"1,76m",right,88,13,Belgium,Central Midfield,MF,30.0,29
Alexis Saelemaekers,"1,80m",right,26,3,Belgium,Right Midfield,MF,20.0,27
Diego Moreira,"1,79m",left,3,0,Belgium,Left Midfield,MF,25.0,21
Charles De Ketelaere,"1,92m",left,32,6,Belgium,Attacking Midfield,MF,30.0,25
Kevin De Bruyne,"1,81m",right,122,38,Belgium,Attacking Midfield,MF,8.0,35
Hans Vanaken,"1,95m",right,37,7,Belgium,Attacking Midfield,MF,5.0,33
Jérémy Doku,"1,73m",right,45,7,Belgium,Left Winger,FW,75.0,24
Leandro Trossard,"1,72m",right,54,14,Belgium,Left Winger,FW,18.0,31
Dodi Lukébakio,"1,84m",left,31,6,Belgium,Right Winger,FW,15.0,28
Matias Fernandez-Pardo,"1,88m",right,5,0,Belgium,Centre-Forward,FW,35.0,21
Romelu Lukaku,"1,90m",left,129,91,Belgium,Centre-Forward,FW,6.0,33
Nikola Vasilj,"1,93m",right,29,0,Bosnia and Herzegovina,Goalkeeper,GK,4.5,30
Martin Zlomislic,"1,89m",right,3,0,Bosnia and Herzegovina,Goalkeeper,GK,2.0,27
Mladen Jurkas,"1,93m",right,-,0,Bosnia and Herzegovina,Goalkeeper,GK,0.7,18
Tarik Muharemović,"1,92m",left,16,1,Bosnia and Herzegovina,Centre-Back,DF,25.0,23
Sead Kolasinac,"1,83m",left,68,0,Bosnia and Herzegovina,Centre-Back,DF,4.0,33
Stjepan Radeljic,"2,01m",left,6,0,Bosnia and Herzegovina,Centre-Back,DF,2.8,28
Nikola Katic,"1,94m",right,20,2,Bosnia and Herzegovina,Centre-Back,DF,1.8,29
Nihad Mujakic,"1,89m",left,12,1,Bosnia and Herzegovina,Centre-Back,DF,1.2,28
Dennis Hadzikadunic,"1,91m",right,33,0,Bosnia and Herzegovina,Centre-Back,DF,1.2,27
Amar Dedić,"1,80m",right,30,1,Bosnia and Herzegovina,Right-Back,DF,16.0,23
Arjan Malic,"1,86m",right,9,0,Bosnia and Herzegovina,Right-Back,DF,1.8,20
Amir Hadziahmetovic,"1,79m",right,37,0,Bosnia and Herzegovina,Defensive Midfield,MF,4.0,29
Ivan Šunjić,"1,83m",right,14,0,Bosnia and Herzegovina,Defensive Midfield,MF,2.0,29
Dzenis Burnic,"1,82m",left,22,0,Bosnia and Herzegovina,Defensive Midfield,MF,1.2,28
Benjamin Tahirović,"1,91m",right,31,2,Bosnia and Herzegovina,Central Midfield,MF,4.5,23
Armin Gigovic,"1,87m",right,21,1,Bosnia and Herzegovina,Central Midfield,MF,2.5,24
Ivan Basic,"1,78m",left,20,0,Bosnia and Herzegovina,Central Midfield,MF,1.5,24
Amar Memić,"1,76m",right,16,1,Bosnia and Herzegovina,Right Midfield,MF,4.5,25
Ermin Mahmic,"1,82m",right,4,2,Bosnia and Herzegovina,Attacking Midfield,MF,5.0,21
