Player,Pos,Age,90s,Sh,SoT,SoT_pct,Sh_p90,SoT_p90,G_per_Sh,G_per_SoT,Country
Joshua Brenet,DF,32-103,2.0,0,0,,0.0,0.0,,,Curaçao
Juriën Gaari,DF,32-190,1.8,2,0,0.0,1.08,0.0,0.0,,Curaçao
Riechedly Bazoer,DF,29-262,1.0,0,0,,0.0,0.0,,,Curaçao
Sontje Hansen,FW,24-044,0.5,1,1,100.0,2.0,2.0,0.0,0.0,Curaçao
Jeremy Antonisse,"FW,MF",24-094,0.8,1,0,0.0,1.2,0.0,0.0,,Curaçao
Jearl Margaritha,"FW,MF",26-082,0.5,1,0,0.0,2.2,0.0,0.0,,Curaçao
Gervane Kastaneer,"FW,MF",30-022,0.3,1,0,0.0,3.0,0.0,0.0,,Curaçao
Kenji Gorré,"FW,MF",31-275,0.2,0,0,,0.0,0.0,,,Curaçao
Roshon van Eijma,DF,28-022,0.2,0,0,,0.0,0.0,,,Curaçao
Tyrese Noslin,MF,23-293,0.2,0,0,,0.0,0.0,,,Curaçao
Godfried Roemeratoe,MF,26-316,0.1,0,0,,0.0,0.0,,,Curaçao
Brandley Kuwas,"FW,MF",33-285,0.0,0,0,,0.0,0.0,,,Curaçao
Shurandy Sambo,DF,24-316,0.0,0,0,,0.0,0.0,,,Curaçao
Vladimír Coufal,"MF,DF",33-313,3.0,1,0,0.0,0.33,0.0,0.0,,Czechia
Robin Hranáč,DF,26-153,3.0,0,0,,0.0,0.0,,,Czechia
Matej Kovar,GK,26-045,3.0,0,0,,0.0,0.0,,,Czechia
Ladislav Krejčí,DF,27-072,3.0,5,1,20.0,1.67,0.33,0.2,1.0,Czechia
Pavel Šulc,FW,25-184,2.1,2,0,0.0,0.95,0.0,0.0,,Czechia
Michal Sadílek,MF,27-031,2.0,7,3,42.9,3.44,1.48,0.14,0.33,Czechia
Patrik Schick,FW,30-158,2.0,2,1,50.0,1.0,0.5,0.0,0.0,Czechia
Lukáš Červ,MF,25-082,1.8,3,2,66.7,1.66,1.1,0.0,0.0,Czechia
Adam Hložek,FW,23-341,1.7,3,1,33.3,1.73,0.58,0.0,0.0,Czechia
Tomáš Holeš,DF,33-092,1.7,0,0,,0.0,0.0,,,Czechia
Alexandr Sojka,"MF,DF",23-090,1.6,0,0,,0.0,0.0,,,Czechia
Tomáš Souček,MF,31-124,1.5,1,0,0.0,0.66,0.0,0.0,,Czechia
Jaroslav Zelený,MF,33-315,1.4,1,0,0.0,0.71,0.0,0.0,,Czechia
Lukáš Provod,FW,29-251,1.4,1,0,0.0,0.74,0.0,0.0,,Czechia
