Player,Pos,Age,90s,Sh,SoT,SoT_pct,Sh_p90,SoT_p90,G_per_Sh,G_per_SoT,Country
Chemsdine Talbi,MF,21-053,0.7,2,0,0.0,2.69,0.0,0.0,,Morocco
Soufiane Rahimi,FW,30-029,0.7,3,2,66.7,4.15,2.77,0.33,0.5,Morocco
Gessime Yassine,MF,20-221,0.7,1,1,100.0,1.43,1.43,1.0,1.0,Morocco
Ayoube Amaimouni,MF,21-213,0.2,2,1,50.0,10.0,5.0,0.0,0.0,Morocco
Denzel Dumfries,"DF,MF",30-074,4.3,5,2,40.0,1.15,0.46,0.0,0.0,Netherlands
Jan Paul van Hecke,DF,26-023,4.3,3,2,66.7,0.69,0.46,0.33,0.5,Netherlands
Virgil van Dijk,DF,34-358,4.3,2,2,100.0,0.46,0.46,0.5,0.5,Netherlands
Bart Verbruggen,GK,23-317,4.3,0,0,,0.0,0.0,,,Netherlands
Cody Gakpo,FW,27-055,4.1,10,6,60.0,2.45,1.47,0.3,0.5,Netherlands
Ryan Gravenberch,MF,24-046,3.8,5,0,0.0,1.3,0.0,0.0,,Netherlands
Frenkie de Jong,MF,29-050,3.6,1,0,0.0,0.27,0.0,0.0,,Netherlands
Micky van de Ven,"DF,MF",25-073,2.9,3,1,33.3,1.02,0.34,0.0,0.0,Netherlands
Brian Brobbey,FW,24-150,2.5,4,3,75.0,1.61,1.21,0.75,1.0,Netherlands
Tijjani Reijnders,MF,27-337,2.2,4,2,50.0,1.81,0.9,0.0,0.0,Netherlands
Donyell Malen,FW,27-173,2.1,4,2,50.0,1.95,0.97,0.0,0.0,Netherlands
Crysencio Summerville,FW,24-244,2.8,2,2,100.0,0.71,0.71,1.0,1.0,Netherlands
Nathan Aké,DF,31-133,1.9,1,0,0.0,0.53,0.0,0.0,,Netherlands
Teun Koopmeiners,"DF,MF",28-123,1.4,2,0,0.0,1.48,0.0,0.0,,Netherlands
Quinten Timber,MF,25-014,0.6,0,0,,0.0,0.0,,,Netherlands
Memphis,"FW,MF",32-138,0.6,0,0,,0.0,0.0,,,Netherlands
Wout Weghorst,FW,33-328,0.6,0,0,,0.0,0.0,,,Netherlands
Jorrel Hato,DF,20-116,0.4,0,0,,0.0,0.0,,,Netherlands
Guus Til,"FW,MF",28-191,0.4,0,0,,0.0,0.0,,,Netherlands
Justin Kluivert,"FW,MF",27-057,0.3,0,0,,0.0,0.0,,,Netherlands
Marten de Roon,"DF,MF",35-094,0.1,0,0,,0.0,0.0,,,Netherlands
Noa Lang,"FW,MF",27-014,0.1,0,0,,0.0,0.0,,,Netherlands
Max Crocombe,GK,32-323,3.0,0,0,,0.0,0.0,,,New Zealand
Finn Surman,DF,22-281,3.0,2,1,50.0,0.67,0.33,0.5,1.0,New Zealand
Chris Wood,FW,34-206,3.0,5,2,40.0,1.67,0.67,0.0,0.0,New Zealand
Marko Stamenic,MF,24-132,3.0,3,0,0.0,1.0,0.0,0.0,,New Zealand
Elijah Just,MF,26-061,2.9,7,5,71.4,2.39,1.7,0.43,0.6,New Zealand
Joe Bell,MF,27-065,2.7,1,0,0.0,0.37,0.0,0.0,,New Zealand
Tim Payne,DF,32-172,2.5,1,0,0.0,0.4,0.0,0.0,,New Zealand
Liberato Cacace,DF,25-277,2.4,1,1,100.0,0.41,0.41,0.0,0.0,New Zealand
Sarpreet Singh,MF,27-131,2.3,4,2,50.0,1.72,0.86,0.0,0.0,New Zealand
Michael Boxall,DF,37-317,2.3,0,0,,0.0,0.0,,,New Zealand
Callum McCowatt,MF,27-062,1.8,4,3,75.0,2.26,1.7,0.0,0.0,New Zealand
Tyler Bindon,DF,21-155,1.1,2,1,50.0,1.86,0.93,0.0,0.0,New Zealand
Ryan Thomas,MF,31-193,0.9,0,0,,0.0,0.0,,,New Zealand
Ben Old,MF,23-322,1.0,0,0,,0.0,0.0,,,New Zealand
Jesse Randall,MF,23-316,0.7,1,0,0.0,1.48,0.0,0.0,,New Zealand
Francis de Vries,DF,31-215,0.2,0,0,,0.0,0.0,,,New Zealand
Callan Elliot,DF,26-359,0.1,0,0,,0.0,0.0,,,New Zealand
Kristoffer Ajer,DF,28-075,3.0,1,1,100.0,0.33,0.33,0.0,0.0,Norway
Sander Berge,MF,28-137,3.0,0,0,,0.0,0.0,,,Norway
Erling Haaland,FW,25-345,3.0,14,9,64.3,4.67,3.0,0.36,0.56,Norway
Ørjan Nyland,GK,35-294,3.0,0,0,,0.0,0.0,,,Norway
Torbjørn Heggem,DF,27-170,2.9,1,1,100.0,0.34,0.34,0.0,0.0,Norway
Martin Ødegaard,MF,27-196,2.9,5,1,20.0,1.73,0.35,0.0,0.0,Norway
David Møller Wolfe,DF,24-069,2.8,0,0,,0.0,0.0,,,Norway
Alexander Sørloth,FW,30-208,2.5,3,0,0.0,1.2,0.0,0.0,,Norway
Antonio Nusa,FW,21-075,2.4,3,1,33.3,1.23,0.41,0.33,1.0,Norway
Fredrik Aursnes,"MF,DF",30-203,2.4,1,0,0.0,0.42,0.0,0.0,,Norway
Patrick Berg,MF,28-219,2.6,1,0,0.0,0.38,0.0,0.0,,Norway
Julian Ryerson,DF,28-226,1.1,0,0,,0.0,0.0,,,Norway
Marcus Pedersen,DF,25-350,2.3,1,1,100.0,0.44,0.44,1.0,1.0,Norway
Andreas Schjelderup,FW,22-030,1.6,1,0,0.0,0.64,0.0,0.0,,Norway
Oscar Bobb,FW,22-354,1.4,3,2,66.7,2.13,1.42,0.0,0.0,Norway
Leo Østigård,DF,26-215,1.3,3,1,33.3,2.35,0.78,0.33,1.0,Norway
Thelo Aasgaard,MF,24-060,1.0,2,1,50.0,2.0,1.0,0.5,1.0,Norway
Egil Selvik,GK,28-336,1.0,0,0,,0.0,0.0,,,Norway
Jørgen Strand Larsen,FW,26-145,1.0,2,1,50.0,2.0,1.0,0.0,0.0,Norway
Henrik Falchener,DF,23-054,0.7,0,0,,0.0,0.0,,,Norway
Kristian Thorstvedt,MF,27-110,0.7,3,1,33.3,4.29,1.43,0.0,0.0,Norway
Fredrik André Bjørkan,DF,27-314,0.5,0,0,,0.0,0.0,,,Norway
Morten Thorsby,MF,30-057,0.5,0,0,,0.0,0.0,,,Norway
Sondre Langås,DF,25-149,0.3,0,0,,0.0,0.0,,,Norway
Jens Petter Hauge,"DF,FW",26-262,0.1,0,0,,0.0,0.0,,,Norway
Michael Amir Murillo,"DF,MF",30-140,3.0,5,1,20.0,1.67,0.33,0.0,0.0,Panama
Andrés Andrade Cedeño,DF,27-258,3.0,0,0,,0.0,0.0,,,Panama
José Córdoba,DF,25-117,3.0,0,0,,0.0,0.0,,,Panama
Orlando Mosquera,GK,31-188,3.0,0,0,,0.0,0.0,,,Panama
Carlos Harvey,MF,26-148,3.0,5,0,0.0,1.69,0.0,0.0,,Panama
Yoel Bárcenas,MF,32-251,2.8,2,0,0.0,0.72,0.0,0.0,,Panama
Cristian Martínez,"MF,FW",29-145,2.7,1,0,0.0,0.37,0.0,0.0,,Panama
José Luis Rodríguez,"MF,FW",28-012,2.6,3,1,33.3,1.16,0.39,0.0,0.0,Panama
César Blackman,"MF,DF",28-090,2.0,2,1,50.0,1.01,0.51,0.0,0.0,Panama
Jiovany Ramos,DF,29-156,1.8,2,0,0.0,1.08,0.0,0.0,,Panama
José Fajardo,FW,32-317,1.7,1,0,0.0,0.58,0.0,0.0,,Panama
Fidel Escobar,DF,31-173,1.0,0,0,,0.0,0.0,,,Panama
Jorge Gutiérrez,DF,27-303,1.0,0,0,,0.0,0.0,,,Panama
Cecilio Waterman,FW,35-079,0.8,2,1,50.0,2.37,1.18,0.0,0.0,Panama
Tomás Rodríguez,FW,27-114,0.5,1,1,100.0,1.96,1.96,0.0,0.0,Panama
Azarías Londoño,MF,25-010,0.6,1,0,0.0,1.61,0.0,0.0,,Panama
Ismael Díaz,"FW,MF",29-050,0.4,6,2,33.3,14.59,4.86,0.0,0.0,Panama
Erick Davis,DF,35-092,0.0,1,0,0.0,22.5,0.0,0.0,,Panama
Alberto Quintero,"FW,MF",38-195,0.0,0,0,,0.0,0.0,,,Panama
Aníbal Godoy,MF,36-141,0.0,0,0,,0.0,0.0,,,Panama
Andrés Cubas,MF,30-040,4.3,1,0,0.0,0.23,0.0,0.0,,Paraguay
Orlando Gill,GK,26-020,4.3,0,0,,0.0,0.0,,,Paraguay
Gustavo Gómez,DF,33-056,4.3,2,0,0.0,0.46,0.0,0.0,,Paraguay
Juan Cáceres,DF,26-030,3.8,2,1,50.0,0.52,0.26,0.0,0.0,Paraguay
Julio Enciso,FW,22-159,3.6,8,1,12.5,2.21,0.28,0.13,1.0,Paraguay
Júnior Alonso,DF,33-142,3.3,1,1,100.0,0.3,0.3,0.0,0.0,Paraguay
Matías Galarza,MF,24-140,3.3,2,1,50.0,0.6,0.3,0.5,1.0,Paraguay
Omar Alderete,DF,29-187,2.9,1,0,0.0,0.34,0.0,0.0,,Paraguay
Diego Gómez,MF,23-096,2.6,5,0,0.0,1.92,0.0,0.0,,Paraguay
Miguel Almirón,"MF,FW",32-141,2.4,3,0,0.0,1.27,0.0,0.0,,Paraguay
Damián Bobadilla,MF,24-355,2.1,0,0,,0.0,0.0,,,Paraguay
Gabriel Ávalos,FW,35-262,1.3,1,0,0.0,0.74,0.0,0.0,,Paraguay
Gustavo Velásquez,DF,35-075,1.7,0,0,,0.0,0.0,,,Paraguay
José Canale,DF,29-346,1.4,0,0,,0.0,0.0,,,Paraguay
Antonio Sanabria,FW,30-119,0.9,0,0,,0.0,0.0,,,Paraguay
Alexandro Maidana,DF,20-340,0.6,0,0,,0.0,0.0,,,Paraguay
Isidro Pitta,FW,26-321,0.5,0,0,,0.0,0.0,,,Paraguay
Mauricio,MF,25-040,1.7,3,3,100.0,1.76,1.76,0.33,0.33,Paraguay
Gustavo Caballero,"FW,MF",24-283,0.7,1,1,100.0,1.36,1.36,0.0,0.0,Paraguay
Álex Arce,FW,31-015,0.6,0,0,,0.0,0.0,,,Paraguay
Braian Ojeda,MF,26-004,0.2,0,0,,0.0,0.0,,,Paraguay
Ramón Sosa,"FW,MF",26-304,0.1,0,0,,0.0,0.0,,,Paraguay
Kaku,MF,31-171,0.1,0,0,,0.0,0.0,,,Paraguay
Fabián Balbuena,DF,34-312,0.0,0,0,,0.0,0.0,,,Paraguay
Diogo Costa,GK,26-289,4.0,0,0,,0.0,0.0,,,Portugal
Renato Veiga,DF,22-341,4.0,2,0,0.0,0.5,0.0,0.0,,Portugal
Cristiano Ronaldo,FW,41-150,3.9,15,7,46.7,3.86,1.8,0.13,0.29,Portugal
Nuno Mendes,DF,24-016,3.8,2,1,50.0,0.53,0.26,0.5,1.0,Portugal
Bruno Fernandes,MF,31-300,3.7,8,3,37.5,2.17,0.81,0.0,0.0,Portugal
Vitinha,MF,26-142,3.3,3,0,0.0,0.92,0.0,0.0,,Portugal
Pedro Neto,MF,26-118,3.0,0,0,,0.0,0.0,,,Portugal
João Cancelo,DF,32-039,2.7,2,0,0.0,0.74,0.0,0.0,,Portugal
João Neves,MF,21-281,3.3,2,1,50.0,0.6,0.3,0.5,1.0,Portugal
Rúben Dias,DF,29-052,3.0,0,0,,0.0,0.0,,,Portugal
João Félix,MF,26-237,1.5,6,1,16.7,4.12,0.69,0.0,0.0,Portugal
Rafael Leão,MF,27-025,1.5,4,1,25.0,2.61,0.65,0.25,1.0,Portugal
Tomás Araújo,DF,24-050,1.0,0,0,,0.0,0.0,,,Portugal
Bernardo Silva,MF,31-329,1.0,0,0,,0.0,0.0,,,Portugal
Rúben Neves,MF,29-114,0.6,2,0,0.0,3.27,0.0,0.0,,Portugal
Francisco Conceição,MF,23-203,1.3,2,0,0.0,1.53,0.0,0.0,,Portugal
Nélson Semedo,"DF,MF",32-231,1.0,0,0,,0.0,0.0,,,Portugal
Diogo Dalot,"DF,MF",27-109,0.5,1,0,0.0,2.0,0.0,0.0,,Portugal
Gonçalo Ramos,FW,25-015,0.4,2,1,50.0,5.0,2.5,0.5,1.0,Portugal
Francisco Trincão,"FW,MF",26-188,0.3,1,0,0.0,3.21,0.0,0.0,,Portugal
Samu Costa,MF,25-220,0.2,0,0,,0.0,0.0,,,Portugal
Matheus Nunes,"DF,MF",27-312,0.0,0,0,,0.0,0.0,,,Portugal
Mahmoud Abunada,GK,26-146,3.0,0,0,,0.0,0.0,,,Qatar
Boualem Khoukhi,DF,35-357,3.0,3,1,33.3,1.0,0.33,0.33,1.0,Qatar
Issa Laye,"MF,DF",28-191,3.0,1,0,0.0,0.33,0.0,0.0,,Qatar
Ró-Ró,DF,35-329,3.0,3,1,33.3,1.0,0.33,0.0,0.0,Qatar
Akram Afif,"FW,MF",29-225,2.6,2,0,0.0,0.76,0.0,0.0,,Qatar
Edmilson Junior,"MF,FW",31-316,2.3,3,2,66.7,1.29,0.86,0.0,0.0,Qatar
Jassem Gaber,MF,24-131,1.7,0,0,,0.0,0.0,,,Qatar
Ayoub Al-Oui,DF,21-112,1.7,0,0,,0.0,0.0,,,Qatar
Assim Madibo,MF,29-252,1.5,0,0,,0.0,0.0,,,Qatar
Homam Ahmed,DF,26-310,1.4,1,0,0.0,0.74,0.0,0.0,,Qatar
Yusuf Abdurisag,FW,26-329,1.1,0,0,,0.0,0.0,,,Qatar
Ahmed Fathy,MF,33-157,1.7,0,0,,0.0,0.0,,,Qatar
Sultan Al-Brake,DF,30-085,1.6,0,0,,0.0,0.0,,,Qatar
Karim Boudiaf,MF,35-288,1.1,1,0,0.0,0.88,0.0,0.0,,Qatar
Hassan Al-Haydos,MF,35-202,0.6,1,1,100.0,1.58,1.58,1.0,1.0,Qatar
Mohamed Manai,DF,23-249,0.8,0,0,,0.0,0.0,,,Qatar
Abdulaziz Hatem,MF,36-181,0.5,0,0,,0.0,0.0,,,Qatar
Ahmed Alaaeldin,FW,33-151,0.5,1,1,100.0,2.09,2.09,0.0,0.0,Qatar
Ahmed Al-Ganehi,FW,25-282,0.4,1,0,0.0,2.5,0.0,0.0,,Qatar
Al-Hashmi Al-Hussain,MF,22-320,0.4,0,0,,0.0,0.0,,,Qatar
Almoez Ali,FW,29-316,0.2,1,1,100.0,4.74,4.74,0.0,0.0,Qatar
Lucas Mendes,DF,35-363,0.0,0,0,,0.0,0.0,,,Qatar
Mohammed Al-Owais,GK,34-264,3.0,0,0,,0.0,0.0,,,Saudi Arabia
Saud Abdulhamid,DF,26-348,3.0,2,0,0.0,0.67,0.0,0.0,,Saudi Arabia
Salem Al-Dawsari,MF,34-316,2.7,3,0,0.0,1.1,0.0,0.0,,Saudi Arabia
Abdulelah Al-Amri,DF,29-167,2.7,4,2,50.0,1.51,0.75,0.25,0.5,Saudi Arabia
Firas Al-Buraikan,FW,26-048,2.6,0,0,,0.0,0.0,,,Saudi Arabia
Hassan Al Tambakti,DF,27-142,2.4,0,0,,0.0,0.0,,,Saudi Arabia
Abdullah Al-Khaibari,MF,29-319,2.0,1,0,0.0,0.5,0.0,0.0,,Saudi Arabia
Mohamed Kanno,MF,31-282,2.5,3,2,66.7,1.2,0.8,0.0,0.0,Saudi Arabia
Nasser Al-Dawsari,MF,27-194,2.3,1,0,0.0,0.43,0.0,0.0,,Saudi Arabia
Moteb Al-Harbi,DF,26-131,2.1,0,0,,0.0,0.0,,,Saudi Arabia
Musab Al Juwayr,"MF,FW",23-011,1.7,0,0,,0.0,0.0,,,Saudi Arabia
Ali Lajami,DF,30-068,1.7,0,0,,0.0,0.0,,,Saudi Arabia
Mohammed Abu Al-Shamat,MF,23-324,1.5,1,1,100.0,0.66,0.66,0.0,0.0,Saudi Arabia
Nawaf Boushal,DF,26-288,1.0,0,0,,0.0,0.0,,,Saudi Arabia
Sultan Mendash,MF,31-257,0.7,0,0,,0.0,0.0,,,Saudi Arabia
Abdullah Al-Hamdan,FW,26-291,0.8,2,2,100.0,2.54,2.54,0.0,0.0,Saudi Arabia
Alaa Al Hejji,MF,30-210,0.4,0,0,,0.0,0.0,,,Saudi Arabia
Khalid Al Ghannam,MF,25-235,0.0,0,0,,0.0,0.0,,,Saudi Arabia
Lewis Ferguson,MF,26-311,3.0,2,1,50.0,0.67,0.33,0.0,0.0,Scotland
Angus Gunn,GK,30-160,3.0,0,0,,0.0,0.0,,,Scotland
Jack Hendry,DF,31-055,3.0,0,0,,0.0,0.0,,,Scotland
Scott McTominay,MF,29-205,3.0,8,3,37.5,2.67,1.0,0.0,0.0,Scotland
John McGinn,MF,31-256,2.9,3,1,33.3,1.04,0.35,0.33,1.0,Scotland
Andy Robertson,DF,32-112,2.5,0,0,,0.0,0.0,,,Scotland
Ben Gannon-Doak,MF,20-232,2.1,4,0,0.0,1.94,0.0,0.0,,Scotland
Nathan Patterson,DF,24-258,2.1,0,0,,0.0,0.0,,,Scotland
Grant Hanley,DF,34-223,2.0,0,0,,0.0,0.0,,,Scotland
Lawrence Shankland,FW,30-325,1.9,4,0,0.0,2.11,0.0,0.0,,Scotland
Ché Adams,FW,29-353,1.6,1,1,100.0,0.62,0.62,0.0,0.0,Scotland
Kenny McLean,MF,34-174,1.3,1,0,0.0,0.76,0.0,0.0,,Scotland
Kieran Tierney,MF,29-026,1.2,2,0,0.0,1.73,0.0,0.0,,Scotland
Ryan Christie,MF,31-129,1.1,2,0,0.0,1.89,0.0,0.0,,Scotland
Scott McKenna,DF,29-231,1.0,0,0,,0.0,0.0,,,Scotland
Aaron Hickey,DF,24-021,0.8,0,0,,0.0,0.0,,,Scotland
Lyndon Dykes,"FW,MF",30-267,0.4,1,0,0.0,2.5,0.0,0.0,,Scotland
Anthony Ralston,DF,27-227,0.1,1,1,100.0,8.18,8.18,0.0,0.0,Scotland
Findlay Curtis,MF,19-273,0.1,0,0,,0.0,0.0,,,Scotland
Ross Stewart,FW,29-355,0.0,0,0,,0.0,0.0,,,Scotland
Krépin Diatta,DF,27-130,4.3,1,0,0.0,0.23,0.0,0.0,,Senegal
Moussa Niakhaté,DF,30-119,4.3,1,0,0.0,0.23,0.0,0.0,,Senegal
Ismaila Sarr,"MF,FW",28-130,4.0,17,6,35.3,4.2,1.48,0.24,0.67,Senegal
Sadio Mané,"MF,FW",34-086,4.0,6,3,50.0,1.49,0.75,0.0,0.0,Senegal
Idrissa Gueye,MF,36-282,4.0,5,1,20.0,1.25,0.25,0.0,0.0,Senegal
Lamine Camara,MF,22-185,2.8,3,0,0.0,1.09,0.0,0.0,,Senegal
Pape Gueye,MF,27-162,2.6,8,3,37.5,3.08,1.15,0.25,0.67,Senegal
Mory Diaw,GK,33-013,2.6,0,0,,0.0,0.0,,,Senegal
Nicolas Jackson,FW,25-015,2.6,7,3,42.9,2.69,1.15,0.0,0.0,Senegal
Ismail Jakobs,DF,26-322,2.4,1,0,0.0,0.41,0.0,0.0,,Senegal
El Hadji Malick Diouf,DF,21-189,1.9,0,0,,0.0,0.0,,,Senegal
Kalidou Koulibaly,DF,35-015,1.8,0,0,,0.0,0.0,,,Senegal
Édouard Mendy,GK,34-126,1.7,0,0,,0.0,0.0,,,Senegal
Habib Diarra,MF,22-183,1.6,4,2,50.0,2.52,1.26,0.5,1.0,Senegal
Pathé Ciss,DF,32-111,2.0,2,1,50.0,0.98,0.49,0.0,0.0,Senegal
Ibrahim Mbaye,MF,18-162,1.7,4,1,25.0,2.29,0.57,0.25,1.0,Senegal
Iliman Ndiaye,FW,26-121,1.3,3,2,66.7,2.37,1.58,0.33,0.5,Senegal
Abdoulaye Seck,DF,34-031,0.6,2,0,0.0,3.16,0.0,0.0,,Senegal
Pape Matar Sarr,MF,23-294,0.7,4,0,0.0,5.37,0.0,0.0,,Senegal
Bara Sapoko Ndiaye,MF,18-186,0.3,1,1,100.0,3.46,3.46,0.0,0.0,Senegal
Assane Diao,MF,20-301,0.1,0,0,,0.0,0.0,,,Senegal
Bamba Dieng,FW,26-104,0.1,0,0,,0.0,0.0,,,Senegal
Mbekezeli Mbokazi,DF,20-285,4.0,4,1,25.0,1.0,0.25,0.0,0.0,South Africa
Khuliso Mudau,DF,31-066,4.0,0,0,,0.0,0.0,,,South Africa
Ime Okon,DF,22-131,4.0,1,0,0.0,0.25,0.0,0.0,,South Africa
Ronwen Williams,GK,34-161,4.0,0,0,,0.0,0.0,,,South Africa
Aubrey Modiba,DF,30-344,3.8,5,1,20.0,1.3,0.26,0.0,0.0,South Africa
Teboho Mokoena,MF,29-158,3.0,4,2,50.0,1.33,0.67,0.0,0.0,South Africa
Oswin Appollis,"MF,FW",24-310,2.8,4,1,25.0,1.41,0.35,0.0,0.0,South Africa
Thapelo Maseko,"MF,FW",22-232,2.7,8,1,12.5,2.98,0.37,0.13,1.0,South Africa
Sphephelo Sithole,MF,27-120,2.5,0,0,,0.0,0.0,,,South Africa
Thalente Mbatha,MF,26-107,2.9,4,1,25.0,1.38,0.35,0.0,0.0,South Africa
Evidence Makgopa,FW,26-026,2.4,4,3,75.0,1.67,1.26,0.0,0.0,South Africa
Relebohile Mofokeng,MF,21-251,1.9,3,1,33.3,1.6,0.53,0.0,0.0,South Africa
Iqraam Rayners,FW,30-194,1.8,1,0,0.0,0.56,0.0,0.0,,South Africa
Jayden Adams,MF,25-057,1.3,0,0,,0.0,0.0,,,South Africa
Nkosinathi Sibisi,DF,30-282,1.0,0,0,,0.0,0.0,,,South Africa
Lyle Foster,FW,25-301,0.6,1,0,0.0,1.64,0.0,0.0,,South Africa
Tshepang Moremi,MF,25-272,0.4,0,0,,0.0,0.0,,,South Africa
Themba Zwane,"FW,MF",36-332,0.3,0,0,,0.0,0.0,,,South Africa
Kamogelo Sebelebele,"DF,MF",23-345,0.1,0,0,,0.0,0.0,,,South Africa
Lee Gi-hyuk,DF,25-359,3.0,0,0,,0.0,0.0,,,South Korea
Lee Han-beom,DF,24-014,3.0,2,0,0.0,0.67,0.0,0.0,,South Korea
Lee Kang-in,FW,25-132,3.0,4,1,25.0,1.33,0.33,0.0,0.0,South Korea
Kim Seung-gyu,GK,35-274,3.0,0,0,,0.0,0.0,,,South Korea
Hwang In-beom,MF,29-284,2.9,4,2,50.0,1.37,0.68,0.25,0.5,South Korea
Seol Young-woo,MF,27-208,2.8,2,0,0.0,0.72,0.0,0.0,,South Korea
Kim Min-jae,DF,29-228,2.7,1,1,100.0,0.37,0.37,0.0,0.0,South Korea
Paik Seung-ho,MF,29-106,2.3,0,0,,0.0,0.0,,,South Korea
Son Heung-min,FW,33-358,1.9,7,1,14.3,3.73,0.53,0.0,0.0,South Korea
Lee Jae-sung,FW,33-325,1.3,2,1,50.0,1.54,0.77,0.0,0.0,South Korea
Lee Tae-seok,MF,23-338,1.3,0,0,,0.0,0.0,,,South Korea
Oh Hyeon-gyu,FW,25-080,1.4,4,2,50.0,2.79,1.4,0.25,0.5,South Korea
Hwang Hee-chan,FW,30-156,1.2,1,0,0.0,0.83,0.0,0.0,,South Korea
Kim Moon-hwan,MF,30-334,0.8,0,0,,0.0,0.0,,,South Korea
Kim Jin-gyu,MF,29-127,0.6,1,0,0.0,1.73,0.0,0.0,,South Korea
Jens Castrop,MF,22-337,0.5,0,0,,0.0,0.0,,,South Korea
Eom Ji-sung,MF,24-053,0.5,0,0,,0.0,0.0,,,South Korea
Park Jinseob,"DF,MF",30-251,0.4,1,1,100.0,2.81,2.81,0.0,0.0,South Korea
Cho Gue-sung,FW,28-157,0.3,2,1,50.0,5.81,2.9,0.0,0.0,South Korea
Yang Hyun-jun,"FW,MF",24-037,0.2,1,1,100.0,4.5,4.5,0.0,0.0,South Korea
Pau Cubarsí,DF,19-164,4.0,2,0,0.0,0.5,0.0,0.0,,Spain
Marc Cucurella,DF,27-348,4.0,3,2,66.7,0.75,0.5,0.0,0.0,Spain
Unai Simón,GK,29-024,4.0,0,0,,0.0,0.0,,,Spain
Aymeric Laporte,DF,32-039,4.0,4,1,25.0,1.0,0.25,0.0,0.0,Spain
Rodri,MF,30-013,4.0,4,0,0.0,1.01,0.0,0.0,,Spain
Pedri,MF,23-222,3.4,3,1,33.3,0.88,0.29,0.0,0.0,Spain
Mikel Oyarzabal,FW,29-075,3.3,17,8,47.1,5.1,2.4,0.24,0.5,Spain
Lamine Yamal,"FW,MF",18-357,2.5,14,6,42.9,5.63,2.41,0.07,0.17,Spain
Álex Baena,"FW,MF",24-350,2.2,5,2,40.0,2.3,0.92,0.2,0.5,Spain
Marcos Llorente,DF,31-156,2.0,0,0,,0.0,0.0,,,Spain
Pedro Porro,DF,26-295,2.0,3,2,66.7,1.5,1.0,0.33,0.5,Spain
Dani Olmo,MF,28-059,1.9,6,0,0.0,3.16,0.0,0.0,,Spain
Ferrán Torres,FW,26-126,1.8,9,2,22.2,5.06,1.13,0.0,0.0,Spain
Mikel Merino,MF,30-013,1.4,2,1,50.0,1.4,0.7,0.0,0.0,Spain
Fabián Ruiz Peña,MF,30-093,1.4,5,1,20.0,3.66,0.73,0.0,0.0,Spain
Gavi,FW,21-334,0.8,1,0,0.0,1.18,0.0,0.0,,Spain
Yéremy Pino,"FW,MF",23-258,0.8,0,0,,0.0,0.0,,,Spain
Nico Williams,MF,23-358,0.5,0,0,,0.0,0.0,,,Spain
Marc Pubill,DF,23-015,0.0,0,0,,0.0,0.0,,,Spain
Viktor Gyökeres,FW,28-027,4.0,12,6,50.0,3.0,1.5,0.08,0.17,Sweden
Gustaf Lagerbielke,DF,26-082,4.0,3,1,33.3,0.75,0.25,0.0,0.0,Sweden
Alexander Isak,FW,26-283,4.0,8,6,75.0,2.02,1.51,0.13,0.17,Sweden
Victor Lindelöf,"DF,MF",31-349,4.0,2,0,0.0,0.51,0.0,0.0,,Sweden
Yasin Ayari,MF,22-268,3.8,7,3,42.9,1.86,0.8,0.29,0.67,Sweden
Gabriel Gudmundsson,"MF,DF",27-063,3.7,0,0,,0.0,0.0,,,Sweden
Alexander Bernhardsson,MF,27-296,2.4,1,1,100.0,0.41,0.41,0.0,0.0,Sweden
Isak Hien,DF,27-169,2.4,0,0,,0.0,0.0,,,Sweden
Anthony Elanga,"MF,FW",24-065,2.4,3,3,100.0,1.24,1.24,0.67,0.67,Sweden
Kristoffer Nordfeldt,GK,37-008,2.0,0,0,,0.0,0.0,,,Sweden
Jacob Widell Zetterström,GK,27-355,2.0,0,0,,0.0,0.0,,,Sweden
Elliot Stroud,MF,24-009,1.8,1,0,0.0,0.54,0.0,0.0,,Sweden
Jesper Karlström,MF,31-010,1.5,1,0,0.0,0.65,0.0,0.0,,Sweden
Benjamin Nygren,MF,24-358,1.4,1,0,0.0,0.69,0.0,0.0,,Sweden
Lucas Bergvall,MF,20-149,2.0,2,0,0.0,0.99,0.0,0.0,,Sweden
Daniel Svensson,DF,24-139,1.1,1,0,0.0,0.92,0.0,0.0,,Sweden
Besfort Zeneli,MF,23-222,0.7,1,1,100.0,1.5,1.5,0.0,0.0,Sweden
Taha Ali,"FW,MF",28-000,0.4,0,0,,0.0,0.0,,,Sweden
Ken Sema,"FW,MF",32-274,0.2,1,0,0.0,5.63,0.0,0.0,,Sweden
Mattias Svanberg,MF,27-177,0.2,3,2,66.7,16.88,11.25,0.33,0.5,Sweden
Carl Starfelt,DF,31-030,0.0,0,0,,0.0,0.0,,,Sweden
Gustaf Nilsson,FW,29-039,0.0,1,0,0.0,45.0,0.0,0.0,,Sweden
Manuel Akanji,DF,30-351,4.0,1,1,100.0,0.25,0.25,0.0,0.0,Switzerland
Nico Elvedi,DF,29-278,4.0,3,0,0.0,0.75,0.0,0.0,,Switzerland
Gregor Kobel,GK,28-211,4.0,0,0,,0.0,0.0,,,Switzerland
Granit Xhaka,MF,33-281,4.0,5,1,20.0,1.25,0.25,0.0,0.0,Switzerland
Remo Freuler,MF,34-081,4.0,2,1,50.0,0.5,0.25,0.0,0.0,Switzerland
Ricardo Rodríguez,DF,33-314,4.0,1,0,0.0,0.25,0.0,0.0,,Switzerland
