Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country,Pos_sh,Age_sh,90s_sh,Sh,SoT,SoT_pct,Sh_p90,SoT_p90,G_per_Sh,G_per_SoT,Pos_misc,Age_misc,90s_misc,Fls,Fld,Off,Crs,Int,TklW,Pos_gk,Age_gk,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save_pct,CS,CS_pct,match_name,Player_tm,Height,Foot,International matches,Goals,TM_Position,Pos_tm,Value_M,Age_tm
Ousmane Diomande,DF,22-209,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Coast,DF,22-209,1.0,0.0,0.0,,0.0,0.0,,,DF,22-209,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,ousmane diomande,Ousmane Diomande,"1,90m",right,15,0,Centre-Back,DF,42.0,22
Christopher Opéri,DF,29-063,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Coast,DF,29-063,1.0,0.0,0.0,,0.0,0.0,,,DF,29-063,1.0,2.0,0.0,0.0,2.0,1.0,2.0,,,,,,,,,,,,,,christopher operi,Christopher Operi,"1,83m",left,13,0,Left-Back,DF,4.0,29
Bazoumana Touré,MF,20-121,3.0,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Coast,MF,20-121,0.9,0.0,0.0,,0.0,0.0,,,MF,20-121,0.9,0.0,1.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,bazoumana toure,Bazoumana Touré,"1,78m",left,9,2,Left Winger,FW,40.0,20
Oumar Diakité,FW,22-193,2.0,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Coast,FW,22-193,0.3,0.0,0.0,,0.0,0.0,,,FW,22-193,0.3,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,oumar diakite,Oumar Diakité,"1,82m",right,31,6,Centre-Forward,FW,5.0,22
Evann Guessand,"FW,MF",25-000,2.0,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Coast,"FW,MF",25-000,0.2,1.0,0.0,0.0,5.29,0.0,0.0,,"FW,MF",25-000,0.2,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,evann guessand,Evann Guessand,"1,88m",right,23,4,Right Winger,FW,25.0,25
Simon Adingra,"FW,MF",24-181,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Coast,"FW,MF",24-181,0.2,0.0,0.0,,0.0,0.0,,,"FW,MF",24-181,0.2,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,simon adingra,Simon Adingra,"1,75m",right,30,5,Left Winger,FW,22.0,24
Parfait Guiagon,MF,25-129,0.0,0,,,,,,,,,Ivory Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parfait guiagon,Parfait Guiagon,"1,65m",right,5,0,Left Winger,FW,5.0,25
Mohamed Koné,GK,24-116,0.0,0,,,,,,,,,Ivory Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mohamed kone,Mohamed Koné,"1,86m",right,-,0,Goalkeeper,GK,2.0,24
Alban Lafont,GK,27-159,0.0,0,,,,,,,,,Ivory Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alban lafont,Alban Lafont,"1,96m",right,4,0,Goalkeeper,GK,3.0,27
Hiroki Ito,DF,27-050,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan,DF,27-050,4.0,1.0,0.0,0.0,0.25,0.0,0.0,,DF,27-050,4.0,7.0,0.0,0.0,9.0,0.0,2.0,,,,,,,,,,,,,,hiroki ito,Hiroki Ito,"1,88m",left,28.0,1,Centre-Back,DF,18.0,27
Zion Suzuki,GK,23-314,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan,GK,23-314,4.0,0.0,0.0,,0.0,0.0,,,GK,23-314,4.0,0.0,1.0,0.0,0.0,0.0,0.0,GK,23-314,4.0,4.0,360.0,4.0,5.0,1.25,17.0,12.0,70.6,1.0,25.0,zion suzuki,Zion Suzuki,"1,90m",right,28.0,0,Goalkeeper,GK,20.0,23
Daichi Kamada,MF,29-330,4.0,4,329.0,3.7,2.0,0.0,1.0,0.0,0.55,0.0,Japan,MF,29-330,3.7,3.0,2.0,66.7,0.82,0.55,0.67,1.0,MF,29-330,3.7,2.0,4.0,1.0,4.0,1.0,3.0,,,,,,,,,,,,,,daichi kamada,Daichi Kamada,"1,80m",right,53.0,14,Attacking Midfield,MF,10.0,29
Ayase Ueda,FW,27-294,4.0,4,321.0,3.6,2.0,1.0,0.0,0.0,0.56,0.28,Japan,FW,27-294,3.6,9.0,4.0,44.4,2.52,1.12,0.22,0.5,FW,27-294,3.6,6.0,4.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,ayase ueda,Ayase Ueda,"1,82m",right,43.0,18,Centre-Forward,FW,17.0,27
Keito Nakamura,MF,25-338,4.0,4,307.0,3.4,1.0,1.0,0.0,0.0,0.29,0.29,Japan,MF,25-338,3.4,5.0,2.0,40.0,1.47,0.59,0.2,0.5,MF,25-338,3.4,3.0,1.0,1.0,9.0,1.0,3.0,,,,,,,,,,,,,,keito nakamura,Keito Nakamura,"1,80m",right,29.0,11,Left Winger,FW,10.0,25
Ritsu Doan,MF,28-015,4.0,4,278.0,3.1,0.0,1.0,0.0,0.0,0.0,0.32,Japan,MF,28-015,3.1,1.0,0.0,0.0,0.32,0.0,0.0,,MF,28-015,3.1,6.0,4.0,0.0,5.0,1.0,1.0,,,,,,,,,,,,,,ritsu doan,Ritsu Doan,"1,72m",left,69.0,11,Right Winger,FW,17.0,28
Kaishū Sano,MF,25-183,3.0,3,270.0,3.0,1.0,1.0,1.0,0.0,0.33,0.33,Japan,MF,25-183,3.0,1.0,1.0,100.0,0.33,0.33,1.0,1.0,MF,25-183,3.0,4.0,1.0,0.0,1.0,4.0,2.0,,,,,,,,,,,,,,kaishu sano,Kaishu Sano,"1,76m",both,16.0,1,Defensive Midfield,MF,40.0,25
Daizen Maeda,MF,28-254,3.0,3,244.0,2.7,1.0,0.0,0.0,0.0,0.37,0.0,Japan,MF,28-254,2.7,2.0,1.0,50.0,0.74,0.37,0.5,1.0,MF,28-254,2.7,2.0,1.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,daizen maeda,Daizen Maeda,"1,73m",right,30.0,5,Left Winger,FW,13.0,28
Shogo Taniguchi,DF,34-351,3.0,2,232.0,2.6,0.0,0.0,1.0,0.0,0.0,0.0,Japan,DF,34-351,2.6,0.0,0.0,,0.0,0.0,,,DF,34-351,2.6,2.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,shogo taniguchi,Shogo Taniguchi,"1,85m",right,41.0,1,Centre-Back,DF,0.75,34
Junya Itō,MF,33-114,4.0,2,216.0,2.4,1.0,0.0,0.0,0.0,0.42,0.0,Japan,MF,33-114,2.4,3.0,1.0,33.3,1.25,0.42,0.33,1.0,MF,33-114,2.4,2.0,5.0,0.0,17.0,1.0,2.0,,,,,,,,,,,,,,junya ito,Junya Ito,"1,77m",right,73.0,16,Right Winger,FW,3.0,33
Ao Tanaka,MF,27-294,3.0,2,193.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,Japan,MF,27-294,2.1,2.0,0.0,0.0,0.93,0.0,0.0,,MF,27-294,2.1,6.0,2.0,0.0,0.0,1.0,6.0,,,,,,,,,,,,,,ao tanaka,Ao Tanaka,"1,80m",right,41.0,8,Central Midfield,MF,13.0,27
Takehiro Tomiyasu,DF,27-238,3.0,2,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan,DF,27-238,2.0,1.0,0.0,0.0,0.49,0.0,0.0,,DF,27-238,2.0,5.0,2.0,0.0,2.0,2.0,1.0,,,,,,,,,,,,,,takehiro tomiyasu,Takehiro Tomiyasu,"1,87m",right,46.0,1,Centre-Back,DF,5.0,27
Ko Itakura,DF,29-155,2.0,2,128.0,1.4,0.0,1.0,0.0,0.0,0.0,0.7,Japan,DF,29-155,1.4,0.0,0.0,,0.0,0.0,,,DF,29-155,1.4,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,ko itakura,Ko Itakura,"1,88m",right,42.0,2,Centre-Back,DF,8.0,29
Yukinari Sugawara,MF,26-003,4.0,1,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,Japan,MF,26-003,1.6,2.0,2.0,100.0,1.22,1.22,0.0,0.0,MF,26-003,1.6,3.0,1.0,0.0,4.0,0.0,3.0,,,,,,,,,,,,,,yukinari sugawara,Yukinari Sugawara,"1,79m",right,25.0,2,Right-Back,DF,5.5,26
Tsuyoshi Watanabe,DF,29-146,2.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan,DF,29-146,1.0,0.0,0.0,,0.0,0.0,,,DF,29-146,1.0,0.0,1.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,tsuyoshi watanabe,Tsuyoshi Watanabe,"1,84m",right,13.0,0,Centre-Back,DF,10.0,29
Ayumu Seko,DF,26-024,2.0,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan,DF,26-024,1.0,0.0,0.0,,0.0,0.0,,,DF,26-024,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,ayumu seko,Ayumu Seko,"1,86m",right,16.0,0,Centre-Back,DF,5.0,26
Takefusa Kubo,MF,25-027,1.0,1,74.0,0.8,0.0,1.0,0.0,0.0,0.0,1.22,Japan,MF,25-027,0.8,1.0,0.0,0.0,1.22,0.0,0.0,,MF,25-027,0.8,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,takefusa kubo,Takefusa Kubo,"1,73m",left,50.0,7,Right Winger,FW,20.0,25
Junnosuke Suzuki,DF,22-354,2.0,0,43.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,Japan,DF,22-354,0.5,0.0,0.0,,0.0,0.0,,,DF,22-354,0.5,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,junnosuke suzuki,Junnosuke Suzuki,"1,80m",right,8.0,0,Centre-Back,DF,3.5,22
Kōki Ogawa,FW,28-327,3.0,0,42.0,0.5,0.0,1.0,0.0,0.0,0.0,2.14,Japan,FW,28-327,0.5,3.0,0.0,0.0,6.43,0.0,0.0,,FW,28-327,0.5,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,koki ogawa,Koki Ogawa,"1,86m",right,18.0,11,Centre-Forward,FW,2.0,28
Yūto Nagatomo,"DF,MF",39-292,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Japan,"DF,MF",39-292,0.2,0.0,0.0,,0.0,0.0,,,"DF,MF",39-292,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,yuto nagatomo,Yuto Nagatomo,"1,70m",both,146.0,4,Left-Back,DF,0.1,39
Shuto Machino,FW,26-274,1.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Japan,FW,26-274,0.1,0.0,0.0,,0.0,0.0,,,FW,26-274,0.1,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,shuto machino,Shuto Machino,"1,85m",right,15.0,5,Centre-Forward,FW,4.0,26
Yuito Suzuki,"FW,MF",24-249,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Japan,"FW,MF",24-249,0.1,0.0,0.0,,0.0,0.0,,,"FW,MF",24-249,0.1,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,yuito suzuki,Yuito Suzuki,"1,75m",right,7.0,0,Second Striker,FW,24.0,24
Keisuke Gotō,FW,21-028,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Japan,FW,21-028,0.1,0.0,0.0,,0.0,0.0,,,FW,21-028,0.1,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,keisuke goto,Keisuke Goto,"1,91m",right,5.0,0,Centre-Forward,FW,10.0,21
Kento Shiogai,FW,21-097,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Japan,FW,21-097,0.1,0.0,0.0,,0.0,0.0,,,FW,21-097,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,kento shiogai,Kento Shiogai,"1,80m",right,3.0,0,Centre-Forward,FW,8.0,21
Tomoki Hayakawa,GK,27-120,0.0,0,,,,,,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tomoki hayakawa,Tomoki Hayakawa,"1,87m",right,4.0,0,Goalkeeper,GK,2.0,27
Keisuke Ōsako,GK,26-338,0.0,0,,,,,,,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keisuke osako,Keisuke Osako,"1,88m",right,11.0,0,Goalkeeper,GK,2.0,26
Yazeed Abulaila,GK,33-174,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Jordan,GK,33-174,3.0,0.0,0.0,,0.0,0.0,,,GK,33-174,3.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,33-174,3.0,3.0,270.0,3.0,8.0,2.67,16.0,8.0,50.0,0.0,0.0,yazeed abulaila,Yazeed Abulaila,"1,88m",right,67,0,Goalkeeper,GK,0.3,33
Yazan Al-Arab,DF,30-151,3.0,3,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Jordan,DF,30-151,3.0,0.0,0.0,,0.0,0.0,,,DF,30-151,3.0,4.0,0.0,0.0,0.0,11.0,1.0,,,,,,,,,,,,,,yazan al arab,Yazan Al-Arab,"1,85m",left,73,3,Centre-Back,DF,1.0,30
Noor Al Rawabdeh,MF,29-127,3.0,3,270.0,3.0,0.0,1.0,0.0,0.0,0.0,0.33,Jordan,MF,29-127,3.0,1.0,0.0,0.0,0.33,0.0,0.0,,MF,29-127,3.0,1.0,0.0,0.0,0.0,2.0,7.0,,,,,,,,,,,,,,noor al rawabdeh,Noor Al-Rawabdeh,"1,82m",right,61,3,Central Midfield,MF,0.5,29
Ali Olwan,MF,26-097,3.0,3,268.0,3.0,1.0,0.0,0.0,0.0,0.34,0.0,Jordan,MF,26-097,3.0,6.0,3.0,50.0,2.01,1.01,0.17,0.33,MF,26-097,3.0,1.0,4.0,1.0,5.0,1.0,0.0,,,,,,,,,,,,,,ali olwan,Ali Olwan,"1,82m",right,62,28,Centre-Forward,FW,0.8,26
Mohannad Abu Taha,DF,23-149,3.0,3,264.0,2.9,0.0,0.0,1.0,0.0,0.0,0.0,Jordan,DF,23-149,2.9,1.0,0.0,0.0,0.34,0.0,0.0,,DF,23-149,2.9,2.0,1.0,0.0,5.0,6.0,2.0,,,,,,,,,,,,,,mohannad abu taha,Mohannad Abu Taha,"1,76m",left,28,1,Left-Back,DF,0.55,23
Ihsan Haddad,DF,32-146,3.0,3,260.0,2.9,0.0,1.0,0.0,0.0,0.0,0.35,Jordan,DF,32-146,2.9,1.0,0.0,0.0,0.35,0.0,0.0,,DF,32-146,2.9,3.0,1.0,0.0,8.0,2.0,1.0,,,,,,,,,,,,,,ehsan haddad,Ehsan Haddad,"1,81m",right,79,1,Right-Back,DF,0.3,32
Abdallah Nasib,DF,32-126,3.0,3,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,Jordan,DF,32-126,2.9,0.0,0.0,,0.0,0.0,,,DF,32-126,2.9,1.0,1.0,0.0,0.0,7.0,3.0,,,,,,,,,,,,,,abdallah nasib,Abdallah Nasib,"1,84m",right,58,2,Centre-Back,DF,0.4,32
Nizar Al Rashdan,MF,27-100,3.0,3,255.0,2.8,1.0,0.0,0.0,0.0,0.35,0.0,Jordan,MF,27-100,2.8,2.0,1.0,50.0,0.71,0.35,0.5,1.0,MF,27-100,2.8,5.0,4.0,0.0,0.0,2.0,5.0,,,,,,,,,,,,,,nizar al rashdan,Nizar Al-Rashdan,"1,83m",right,43,5,Defensive Midfield,MF,0.6,27
Musa Al-Taamari,FW,29-021,3.0,2,215.0,2.4,1.0,1.0,0.0,0.0,0.42,0.42,Jordan,FW,29-021,2.4,8.0,3.0,37.5,3.35,1.26,0.13,0.33,FW,29-021,2.4,2.0,3.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,mousa tamari,Mousa Tamari,"1,76m",left,80,24,Right Winger,FW,10.0,29
Husam Abu Dahab,DF,26-049,2.0,2,178.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Jordan,DF,26-049,2.0,0.0,0.0,,0.0,0.0,,,DF,26-049,2.0,2.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,husam abu dahab,Husam Abu Dahab,"1,86m",left,15,0,Centre-Back,DF,0.35,26
Mahmoud Al-Mardi,MF,32-268,3.0,1,130.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Jordan,MF,32-268,1.4,1.0,1.0,100.0,0.69,0.69,0.0,0.0,MF,32-268,1.4,4.0,2.0,0.0,7.0,0.0,1.0,,,,,,,,,,,,,,mahmoud al mardi,Mahmoud Al-Mardi,"1,76m",right,74,7,Left Winger,FW,0.35,32
Ali Azaizeh,MF,22-079,3.0,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Jordan,MF,22-079,0.6,2.0,0.0,0.0,3.33,0.0,0.0,,MF,22-079,0.6,1.0,1.0,0.0,1.0,0.0,3.0,,,,,,,,,,,,,,ali azaizeh,Ali Azaizeh,"1,78m",left,7,0,Right Winger,FW,0.325,22
Amer Jamous,MF,23-363,1.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Jordan,MF,23-363,0.2,0.0,0.0,,0.0,0.0,,,MF,23-363,0.2,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,amer jamous,Amer Jamous,"1,77m",right,16,1,Central Midfield,MF,0.5,23
Mohammad Abu Hasheesh,DF,31-053,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Jordan,DF,31-053,0.1,0.0,0.0,,0.0,0.0,,,DF,31-053,0.1,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,mohammad abu hasheesh,Mohammad Abu Hasheesh,"1,78m",left,48,1,Left-Back,DF,0.4,31
Rajaei Ayed,MF,32-341,0.0,0,,,,,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rajaei ayed,Rajaei Ayed,"1,80m",right,57,0,Central Midfield,MF,0.325,32
Anas Badawi,DF,28-291,0.0,0,,,,,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anas badawi,Anas Badawi,"1,74m",right,1,0,Right-Back,DF,0.2,28
Abdallah Al-Fakhouri,GK,26-160,0.0,0,,,,,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abdallah al fakhouri,Abdallah Al-Fakhouri,"1,90m",right,10,0,Goalkeeper,GK,0.25,26
Raúl Rangel,GK,26-126,4.0,4,347.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,GK,26-126,3.9,0.0,0.0,,0.0,0.0,,,GK,26-126,3.9,0.0,0.0,0.0,0.0,0.0,0.0,GK,26-126,4.0,4.0,347.0,3.9,0.0,0.0,6.0,6.0,100.0,4.0,100.0,raul rangel,Raúl Rangel,"1,90m",right,18.0,0,Goalkeeper,GK,6.5,26
Roberto Alvarado,"FW,MF",27-297,4.0,4,338.0,3.8,0.0,3.0,0.0,0.0,0.0,0.8,Mexico,"FW,MF",27-297,3.8,5.0,0.0,0.0,1.33,0.0,0.0,,"FW,MF",27-297,3.8,3.0,4.0,1.0,13.0,1.0,2.0,,,,,,,,,,,,,,roberto alvarado,Roberto Alvarado,"1,76m",left,72.0,5,Right Winger,FW,7.5,27
Julián Quiñones,"FW,MF",29-099,4.0,4,330.0,3.7,3.0,1.0,0.0,0.0,0.82,0.27,Mexico,"FW,MF",29-099,3.7,11.0,5.0,45.5,3.0,1.36,0.27,0.6,"FW,MF",29-099,3.7,5.0,7.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,julian quinones,Julián Quiñones,"1,77m",right,26.0,5,Centre-Forward,FW,14.0,29
Jesús Gallardo,DF,31-320,4.0,3,283.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,DF,31-320,3.1,3.0,0.0,0.0,0.95,0.0,0.0,,DF,31-320,3.1,5.0,1.0,0.0,3.0,5.0,0.0,,,,,,,,,,,,,,jesus gallardo,Jesús Gallardo,"1,74m",left,126.0,3,Left-Back,DF,2.8,31
Jorge Sánchez,DF,28-203,3.0,3,270.0,3.0,0.0,1.0,0.0,0.0,0.0,0.33,Mexico,DF,28-203,3.0,1.0,1.0,100.0,0.33,0.33,0.0,0.0,DF,28-203,3.0,3.0,1.0,1.0,5.0,4.0,2.0,,,,,,,,,,,,,,jorge sanchez,Jorge Sánchez,"1,76m",right,62.0,3,Right-Back,DF,2.0,28
Johan Vásquez,DF,27-252,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,DF,27-252,3.0,1.0,0.0,0.0,0.33,0.0,0.0,,DF,27-252,3.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,johan vasquez,Johan Vásquez,"1,82m",left,49.0,3,Centre-Back,DF,12.0,27
César Montes,DF,29-127,3.0,3,269.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,Mexico,DF,29-127,3.0,1.0,1.0,100.0,0.33,0.33,0.0,0.0,DF,29-127,3.0,3.0,3.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,cesar montes,César Montes,"1,95m",right,71.0,4,Centre-Back,DF,7.5,29
Erik Lira,MF,26-054,3.0,3,255.0,2.8,0.0,1.0,0.0,0.0,0.0,0.35,Mexico,MF,26-054,2.8,0.0,0.0,,0.0,0.0,,,MF,26-054,2.8,2.0,3.0,0.0,0.0,2.0,3.0,,,,,,,,,,,,,,erik lira,Érik Lira,"1,72m",right,28.0,0,Defensive Midfield,MF,12.0,26
Raúl Jiménez,FW,35-057,3.0,3,227.0,2.5,2.0,0.0,0.0,0.0,0.79,0.0,Mexico,FW,35-057,2.5,10.0,4.0,40.0,3.96,1.59,0.2,0.5,FW,35-057,2.5,4.0,2.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,raul jimenez,Raúl Jiménez,"1,88m",right,129.0,47,Centre-Forward,FW,3.0,35
Luis Romo,MF,31-026,3.0,3,204.0,2.3,1.0,1.0,0.0,0.0,0.44,0.44,Mexico,MF,31-026,2.3,2.0,1.0,50.0,0.88,0.44,0.5,1.0,MF,31-026,2.3,1.0,2.0,0.0,1.0,3.0,4.0,,,,,,,,,,,,,,luis romo,Luis Romo,"1,83m",right,66.0,5,Centre-Back,DF,3.0,31
Israel Reyes,DF,26-039,4.0,2,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,DF,26-039,2.2,2.0,0.0,0.0,0.89,0.0,0.0,,DF,26-039,2.2,1.0,0.0,0.0,2.0,3.0,1.0,,,,,,,,,,,,,,israel reyes,Israel Reyes,"1,81m",right,38.0,2,Right-Back,DF,6.5,26
Edson Álvarez,"MF,DF",28-250,3.0,2,195.0,2.2,0.0,0.0,1.0,0.0,0.0,0.0,Mexico,"MF,DF",28-250,2.2,0.0,0.0,,0.0,0.0,,,"MF,DF",28-250,2.2,4.0,2.0,0.0,0.0,3.0,6.0,,,,,,,,,,,,,,edson alvarez,Edson Álvarez,"1,90m",right,102.0,7,Defensive Midfield,MF,15.0,28
Brian Gutiérrez,MF,23-014,3.0,2,168.0,1.9,0.0,0.0,1.0,0.0,0.0,0.0,Mexico,MF,23-014,1.9,5.0,0.0,0.0,2.68,0.0,0.0,,MF,23-014,1.9,4.0,2.0,0.0,2.0,2.0,1.0,,,,,,,,,,,,,,brian gutierrez,Brian Gutiérrez,"1,78m",right,10.0,2,Attacking Midfield,MF,8.0,23
Gilberto Mora,MF,17-260,3.0,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,MF,17-260,1.7,4.0,0.0,0.0,2.35,0.0,0.0,,MF,17-260,1.7,1.0,3.0,0.0,3.0,2.0,1.0,,,,,,,,,,,,,,gilberto mora,Gilberto Mora,"1,75m",right,11.0,0,Attacking Midfield,MF,10.0,17
Álvaro Fidalgo,MF,29-083,2.0,1,84.0,0.9,1.0,0.0,0.0,0.0,1.07,0.0,Mexico,MF,29-083,0.9,1.0,1.0,100.0,1.07,1.07,1.0,1.0,MF,29-083,0.9,0.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,alvaro fidalgo,Álvaro Fidalgo,"1,75m",right,6.0,1,Central Midfield,MF,6.0,29
Mateo Chávez,DF,22-050,1.0,1,77.0,0.9,1.0,0.0,0.0,0.0,1.17,0.0,Mexico,DF,22-050,0.9,1.0,1.0,100.0,1.17,1.17,1.0,1.0,DF,22-050,0.9,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,mateo chavez,Mateo Chávez,"1,78m",left,11.0,1,Left-Back,DF,4.0,22
Obed Vargas,MF,20-330,3.0,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,MF,20-330,0.7,1.0,1.0,100.0,1.36,1.36,0.0,0.0,MF,20-330,0.7,1.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,obed vargas,Obed Vargas,"1,75m",right,9.0,0,Central Midfield,MF,10.0,20
Santiago Giménez,FW,25-074,3.0,0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,FW,25-074,0.6,1.0,1.0,100.0,1.61,1.61,0.0,0.0,FW,25-074,0.6,1.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,santiago gimenez,Santiago Gimenez,"1,80m",left,50.0,6,Centre-Forward,FW,18.0,25
Orbelín Pineda,"FW,MF",30-099,2.0,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,"FW,MF",30-099,0.3,1.0,0.0,0.0,2.9,0.0,0.0,,"FW,MF",30-099,0.3,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,orbelin pineda,Orbelín Pineda,"1,69m",right,94.0,12,Central Midfield,MF,7.0,30
Luis Chávez,MF,30-167,1.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,MF,30-167,0.3,0.0,0.0,,0.0,0.0,,,MF,30-167,0.3,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,luis chavez,Luis Chávez,"1,78m",left,46.0,5,Defensive Midfield,MF,6.0,30
Armando González,FW,23-072,1.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,FW,23-072,0.2,0.0,0.0,,0.0,0.0,,,FW,23-072,0.2,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,armando gonzalez,Armando González,"1,82m",right,8.0,1,Centre-Forward,FW,15.0,23
Guillermo Ochoa,GK,40-353,1.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,GK,40-353,0.1,0.0,0.0,,0.0,0.0,,,GK,40-353,0.1,0.0,0.0,0.0,0.0,0.0,0.0,GK,40-353,1.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,,1.0,,guillermo ochoa,Guillermo Ochoa,"1,85m",right,154.0,0,Goalkeeper,GK,0.25,40
