Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country
Thomas Partey,MF,33-022,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Ghana
Caleb Yirenkyi,MF,20-171,4.0,3,264.0,2.9,1.0,0.0,2.0,0.0,0.34,0.0,Ghana
Kwasi Sibo,MF,28-011,4.0,3,248.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,Ghana
Jonas Adjetey,DF,22-204,3.0,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,Ghana
Benjamin Asare,GK,33-357,3.0,2,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,Ghana
Derrick Luckassen,DF,31-002,2.0,2,180.0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,Ghana
Elisha Owusu,MF,28-240,3.0,2,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,Ghana
Lawrence Ati-Zigi,GK,29-218,2.0,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Ghana
Kamaldeen Sulemana,"MF,FW",24-140,2.0,2,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Ghana
Iñaki Williams,"MF,FW",32-020,2.0,2,126.0,1.4,0.0,0.0,1.0,0.0,0.0,0.0,Ghana
Ernest Nuamah,MF,22-246,3.0,1,89.0,1.0,0.0,1.0,0.0,0.0,0.0,1.01,Ghana
Abdul Fatawu Issahaku,"FW,MF",22-119,4.0,0,132.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,Ghana
Alidu Seidu,DF,26-031,1.0,0,78.0,0.9,0.0,0.0,1.0,0.0,0.0,0.0,Ghana
Brandon Thomas-Asante,"FW,MF",27-188,2.0,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Ghana
Kojo Peprah Oppong,DF,22-031,2.0,0,49.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,Ghana
Prince Kwabena Adu,FW,22-285,3.0,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Ghana
Abdul Rahman Baba,"DF,MF",32-003,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ghana
Joseph Anang,GK,26-027,0.0,0,,,,,,,,,Ghana
Augustine Boakye,"FW,MF",25-244,0.0,0,,,,,,,,,Ghana
Christopher Bonsu-Baah,MF,21-203,0.0,0,,,,,,,,,Ghana
Abdul Mumin,DF,28-029,0.0,0,,,,,,,,,Ghana
Ricardo Adé,DF,36-041,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Haiti
Hannes Delcroix,DF,27-123,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Haiti
Martin Expérience,"DF,MF",27-114,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Haiti
Johny Placide,GK,38-153,,3,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Haiti
Jean-Ricner Bellegarde,MF,28-004,,3,260.0,2.9,0.0,0.0,1.0,0.0,0.0,0.0,Haiti
Danley Jean-Jacques,MF,26-042,,3,259.0,2.9,0.0,0.0,1.0,0.0,0.0,0.0,Haiti
Ruben Providence,MF,24-359,,3,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,Haiti
Wilson Isidor,FW,25-308,,2,186.0,2.1,1.0,0.0,0.0,0.0,0.48,0.0,Haiti
Josué Casimir,MF,24-280,,2,182.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Haiti
Jean-Kevin Duverne,DF,28-354,,2,169.0,1.9,0.0,1.0,0.0,0.0,0.0,0.53,Haiti
Carlens Arcus,"MF,DF",30-003,,2,146.0,1.6,0.0,0.0,1.0,0.0,0.0,0.0,Haiti
Frantzdy Pierrot,FW,31-094,,2,143.0,1.6,0.0,0.0,1.0,0.0,0.0,0.0,Haiti
Lenny Joseph,FW,25-262,,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,Haiti
Louicius Deedson,MF,25-140,,1,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,Haiti
Dominique Simon,MF,25-337,,0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Haiti
Duckens Nazon,"FW,MF",32-085,,0,24.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,Haiti
Derrick Etienne,"FW,MF",29-218,,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Haiti
Yassin Fortuné,"FW,MF",27-152,,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Haiti
Josué Duverger,GK,26-065,,0,,,,,,,,,Haiti
Carl Fred Sainté,MF,23-326,,0,,,,,,,,,Haiti
Duke Lacroix,"DF,FW",32-260,,0,,,,,,,,,Haiti
Garven Metusala,DF,26-182,,0,,,,,,,,,Haiti
Wilguens Paugain,DF,24-311,,0,,,,,,,,,Haiti
Alexandre Pierre,GK,25-126,,0,,,,,,,,,Haiti
Woodensky Pierre,MF,21-183,,0,,,,,,,,,Haiti
Keeto Thermoncy,DF,20-094,,0,,,,,,,,,Haiti
Alireza Beiranvand,GK,33-283,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Shoja' Khalilzadeh,DF,37-048,,3,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Iran
Ali Nemati,DF,30-143,,3,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Iran
Ramin Rezaeian,"DF,MF",36-102,,3,270.0,3.0,2.0,1.0,0.0,0.0,0.67,0.33,Iran
Saeid Ezatolahi,MF,29-273,,3,264.0,2.9,0.0,0.0,2.0,0.0,0.0,0.0,Iran
Mehdi Taremi,FW,33-348,,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Mohammad Mohebi,MF,27-193,,3,244.0,2.7,1.0,0.0,0.0,0.0,0.37,0.0,Iran
Saman Ghoddos,MF,32-298,,3,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Milad Mohammadi,DF,32-275,,2,205.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Hossein Kanaanizadegan,DF,32-100,,2,135.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,Iran
Ehsan Hajsafi,DF,36-126,,1,91.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Iran
Mohammad Ghorbani,MF,25-041,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Saleh Hardani,DF,27-187,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Shahriar Moghanlou,FW,31-192,,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Aria Yousefi,MF,24-070,,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Alireza Jahanbakhsh,"FW,MF",32-324,,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Mehdi Ghayedi,FW,27-208,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Ali Alipour,FW,30-232,,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Mehdi Torabi,MF,31-294,,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Amirhossein Hosseinzadeh,FW,25-244,,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Iran
Rouzbeh Cheshmi,"DF,MF",32-342,,0,,,,,,,,,Iran
Dennis Eckert,FW,29-173,,0,,,,,,,,,Iran
Danial Eiri,DF,22-248,,0,,,,,,,,,Iran
Hossein Hosseini,GK,34-001,,0,,,,,,,,,Iran
Payam Niazmand,GK,31-086,,0,,,,,,,,,Iran
Amirmohammad Razzaghinia,MF,20-081,,0,,,,,,,,,Iran
Merchas Doski,DF,26-206,3.0,3,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Iraq
Akam Hashim,DF,27-319,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Amir Al Ammari,MF,28-339,3.0,3,247.0,2.7,0.0,1.0,2.0,0.0,0.0,0.36,Iraq
Ibrahim Bayesh,"MF,FW",26-061,3.0,3,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Zidane Iqbal,MF,23-065,3.0,2,188.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Ali Al Hamadi,FW,24-122,3.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Hussein Ali,DF,24-122,2.0,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Zaid Tahseen,DF,25-153,2.0,2,149.0,1.7,0.0,0.0,1.0,0.0,0.0,0.0,Iraq
Ahmed Basil,GK,29-316,2.0,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Ali Jasim,MF,22-162,2.0,2,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Ahmed Qasem,"MF,FW",22-354,3.0,2,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Zaid Ismail,MF,24-179,2.0,2,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Ayman Hussein,FW,30-101,2.0,2,115.0,1.3,1.0,0.0,0.0,0.0,0.78,0.0,Iraq
Jalal Hassan,GK,35-044,2.0,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Frans Dhia Putros,DF,32-352,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Rebin Sulaka,DF,34-080,2.0,1,43.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,Iraq
Manaf Younis,DF,29-227,1.0,0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Marko Farji,MF,22-107,2.0,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Ahmed Maknzi,DF,24-280,1.0,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Ali Yousif,FW,30-163,1.0,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Youssef Amyn,MF,22-314,1.0,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Kevin Yakob,MF,25-264,1.0,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Aimar Sher,MF,23-193,1.0,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Mustafa Saadoon,DF,25-037,1.0,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Mohanad Ali,FW,26-011,1.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Iraq
Fahad Talib,GK,31-253,0.0,0,,,,,,,,,Iraq
Yahia Fofana,GK,25-314,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Franck Kessié,MF,29-194,4.0,4,346.0,3.8,1.0,0.0,1.0,0.0,0.26,0.0,Ivory Cost
Yan Diomandé,"MF,FW",19-229,4.0,4,329.0,3.7,0.0,1.0,0.0,0.0,0.0,0.27,Ivory Cost
Guéla Doué,DF,23-257,4.0,3,277.0,3.1,0.0,0.0,1.0,0.0,0.0,0.0,Ivory Cost
Odilon Kossounou,DF,25-178,4.0,3,272.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Emmanuel Agbadou,DF,29-014,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Ghislain Konan,DF,30-186,3.0,3,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Ibrahim Sangaré,MF,28-211,4.0,3,268.0,3.0,0.0,1.0,0.0,0.0,0.0,0.34,Ivory Cost
Ange-Yoan Bonny,FW,22-249,4.0,3,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Nicolas Pépé,FW,31-033,4.0,3,234.0,2.6,2.0,1.0,1.0,0.0,0.77,0.38,Ivory Cost
Christ Inao Oulaï,MF,20-086,4.0,2,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Amad Diallo,"MF,FW",23-355,4.0,2,185.0,2.1,2.0,0.0,0.0,0.0,0.97,0.0,Ivory Cost
Wilfried Singo,DF,25-188,2.0,2,171.0,1.9,0.0,1.0,0.0,0.0,0.0,0.53,Ivory Cost
Elye Wahi,FW,23-180,3.0,1,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Seko Fofana,MF,31-055,2.0,1,92.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Ivory Cost
Ousmane Diomande,DF,22-209,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Christopher Opéri,DF,29-063,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Bazoumana Touré,MF,20-121,3.0,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Oumar Diakité,FW,22-193,2.0,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Evann Guessand,"FW,MF",25-000,2.0,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Simon Adingra,"FW,MF",24-181,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Jean Seri,MF,34-347,1.0,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Ivory Cost
Parfait Guiagon,MF,25-129,0.0,0,,,,,,,,,Ivory Cost
Mohamed Koné,GK,24-116,0.0,0,,,,,,,,,Ivory Cost
Alban Lafont,GK,27-159,0.0,0,,,,,,,,,Ivory Cost
Obite N'Dicka,DF,26-315,0.0,0,,,,,,,,,Ivory Cost
Hiroki Ito,DF,27-050,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Zion Suzuki,GK,23-314,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Daichi Kamada,MF,29-330,4.0,4,329.0,3.7,2.0,0.0,1.0,0.0,0.55,0.0,Japan
Ayase Ueda,FW,27-294,4.0,4,321.0,3.6,2.0,1.0,0.0,0.0,0.56,0.28,Japan
Keito Nakamura,MF,25-338,4.0,4,307.0,3.4,1.0,1.0,0.0,0.0,0.29,0.29,Japan
Ritsu Doan,MF,28-015,4.0,4,278.0,3.1,0.0,1.0,0.0,0.0,0.0,0.32,Japan
Kaishū Sano,MF,25-183,3.0,3,270.0,3.0,1.0,1.0,1.0,0.0,0.33,0.33,Japan
Daizen Maeda,MF,28-254,3.0,3,244.0,2.7,1.0,0.0,0.0,0.0,0.37,0.0,Japan
Shogo Taniguchi,DF,34-351,3.0,2,232.0,2.6,0.0,0.0,1.0,0.0,0.0,0.0,Japan
Junya Itō,MF,33-114,4.0,2,216.0,2.4,1.0,0.0,0.0,0.0,0.42,0.0,Japan
Ao Tanaka,MF,27-294,3.0,2,193.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Takehiro Tomiyasu,DF,27-238,3.0,2,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Ko Itakura,DF,29-155,2.0,2,128.0,1.4,0.0,1.0,0.0,0.0,0.0,0.7,Japan
Yukinari Sugawara,MF,26-003,4.0,1,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Tsuyoshi Watanabe,DF,29-146,2.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Ayumu Seko,DF,26-024,2.0,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Takefusa Kubo,MF,25-027,1.0,1,74.0,0.8,0.0,1.0,0.0,0.0,0.0,1.22,Japan
Junnosuke Suzuki,DF,22-354,2.0,0,43.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,Japan
Kōki Ogawa,FW,28-327,3.0,0,42.0,0.5,0.0,1.0,0.0,0.0,0.0,2.14,Japan
Yūto Nagatomo,"DF,MF",39-292,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Shuto Machino,FW,26-274,1.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Yuito Suzuki,"FW,MF",24-249,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Keisuke Gotō,FW,21-028,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Kento Shiogai,FW,21-097,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Japan
Tomoki Hayakawa,GK,27-120,0.0,0,,,,,,,,,Japan
Keisuke Ōsako,GK,26-338,0.0,0,,,,,,,,,Japan
Yazeed Abulaila,GK,33-174,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Yazan Al-Arab,DF,30-151,3.0,3,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Jordan
Noor Al Rawabdeh,MF,29-127,3.0,3,270.0,3.0,0.0,1.0,0.0,0.0,0.0,0.33,Jordan
Ali Olwan,MF,26-097,3.0,3,268.0,3.0,1.0,0.0,0.0,0.0,0.34,0.0,Jordan
Mohannad Abu Taha,DF,23-149,3.0,3,264.0,2.9,0.0,0.0,1.0,0.0,0.0,0.0,Jordan
Ihsan Haddad,DF,32-146,3.0,3,260.0,2.9,0.0,1.0,0.0,0.0,0.0,0.35,Jordan
Abdallah Nasib,DF,32-126,3.0,3,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Nizar Al Rashdan,MF,27-100,3.0,3,255.0,2.8,1.0,0.0,0.0,0.0,0.35,0.0,Jordan
Musa Al-Taamari,FW,29-021,3.0,2,215.0,2.4,1.0,1.0,0.0,0.0,0.42,0.42,Jordan
Husam Abu Dahab,DF,26-049,2.0,2,178.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Jordan
Odeh Al-Fakhouri,"MF,FW",20-221,3.0,2,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Mahmoud Al-Mardi,MF,32-268,3.0,1,130.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Mo Abualnadi,DF,25-143,1.0,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Ali Azaizeh,MF,22-079,3.0,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Salim Obaid,DF,34-165,3.0,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Amer Jamous,MF,23-363,1.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Saed Al-Rosan,DF,29-150,1.0,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Mohammad Abu Hasheesh,DF,31-053,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Mohammad Al-Dawud,"FW,MF",34-080,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jordan
Sharara,FW,28-183,2.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jordan
Rajaei Ayed,MF,32-341,0.0,0,,,,,,,,,Jordan
Anas Badawi,DF,28-291,0.0,0,,,,,,,,,Jordan
Nour Bani Attiah,GK,33-157,0.0,0,,,,,,,,,Jordan
Abdallah Al-Fakhouri,GK,26-160,0.0,0,,,,,,,,,Jordan
Ibrahim Sadeh,MF,26-065,0.0,0,,,,,,,,,Jordan
Mohammad Taha,MF,20-353,0.0,0,,,,,,,,,Jordan
Raúl Rangel,GK,26-126,4.0,4,347.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Roberto Alvarado,"FW,MF",27-297,4.0,4,338.0,3.8,0.0,3.0,0.0,0.0,0.0,0.8,Mexico
Julián Quiñones,"FW,MF",29-099,4.0,4,330.0,3.7,3.0,1.0,0.0,0.0,0.82,0.27,Mexico
Jesús Gallardo,DF,31-320,4.0,3,283.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Jorge Sánchez,DF,28-203,3.0,3,270.0,3.0,0.0,1.0,0.0,0.0,0.0,0.33,Mexico
Johan Vásquez,DF,27-252,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
César Montes,DF,29-127,3.0,3,269.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,Mexico
Erik Lira,MF,26-054,3.0,3,255.0,2.8,0.0,1.0,0.0,0.0,0.0,0.35,Mexico
Raúl Jiménez,FW,35-057,3.0,3,227.0,2.5,2.0,0.0,0.0,0.0,0.79,0.0,Mexico
Luis Romo,MF,31-026,3.0,3,204.0,2.3,1.0,1.0,0.0,0.0,0.44,0.44,Mexico
Israel Reyes,DF,26-039,4.0,2,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Edson Álvarez,"MF,DF",28-250,3.0,2,195.0,2.2,0.0,0.0,1.0,0.0,0.0,0.0,Mexico
Brian Gutiérrez,MF,23-014,3.0,2,168.0,1.9,0.0,0.0,1.0,0.0,0.0,0.0,Mexico
Gilberto Mora,MF,17-260,3.0,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Álvaro Fidalgo,MF,29-083,2.0,1,84.0,0.9,1.0,0.0,0.0,0.0,1.07,0.0,Mexico
Mateo Chávez,DF,22-050,1.0,1,77.0,0.9,1.0,0.0,0.0,0.0,1.17,0.0,Mexico
Guillermo Martínez Ayala,FW,31-108,1.0,1,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Obed Vargas,MF,20-330,3.0,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Santiago Giménez,FW,25-074,3.0,0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Orbelín Pineda,"FW,MF",30-099,2.0,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Luis Chávez,MF,30-167,1.0,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Armando González,FW,23-072,1.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Guillermo Ochoa,GK,40-353,1.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Alexis Vega,"FW,MF",28-218,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
César Huerta,"FW,MF",25-210,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Mexico
Carlos Acevedo,GK,30-073,0.0,0,,,,,,,,,Mexico
Yassine Bounou,GK,35-087,4.0,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Achraf Hakimi,DF,27-239,4.0,4,390.0,4.3,1.0,1.0,0.0,0.0,0.23,0.23,Morocco
Neil El Aynaoui,MF,24-364,4.0,4,382.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Ismael Saibari,FW,25-154,4.0,4,360.0,4.0,3.0,0.0,0.0,0.0,0.75,0.0,Morocco
Chadi Riad,DF,23-014,4.0,4,344.0,3.8,0.0,1.0,0.0,0.0,0.0,0.26,Morocco
Bilal El Khannouss,MF,22-052,4.0,4,338.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Brahim Díaz,MF,26-332,4.0,4,294.0,3.3,0.0,2.0,0.0,0.0,0.0,0.61,Morocco
Issa Diop,DF,29-173,3.0,3,300.0,3.3,1.0,0.0,2.0,0.0,0.3,0.0,Morocco
Noussair Mazraoui,DF,28-229,4.0,3,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Azzedine Ounahi,MF,26-073,4.0,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Ayyoub Bouaddi,MF,18-272,3.0,3,258.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Anass Salah-Eddine,DF,24-164,3.0,1,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Sofyan Amrabat,MF,29-314,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Redouane Halhal,DF,23-118,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Ayoub El Kaabi,FW,33-005,1.0,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Samir El Mourabet,MF,20-268,4.0,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Chemsdine Talbi,MF,21-053,3.0,0,67.0,0.7,0.0,1.0,0.0,0.0,0.0,1.34,Morocco
Soufiane Rahimi,FW,30-029,4.0,0,65.0,0.7,1.0,1.0,0.0,0.0,1.38,1.38,Morocco
Gessime Yassine,MF,20-221,2.0,0,63.0,0.7,1.0,0.0,0.0,0.0,1.43,0.0,Morocco
Ayoube Amaimouni,MF,21-213,2.0,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
Youssef Belammari,DF,27-284,0.0,0,,,,,,,,,Morocco
Munir,GK,37-052,0.0,0,,,,,,,,,Morocco
Zakaria El Ouahdi,"DF,MF",24-182,0.0,0,,,,,,,,,Morocco
Ahmed Reda Tagnaouti,GK,30-087,0.0,0,,,,,,,,,Morocco
Marwane Saâdane,"DF,MF",34-165,0.0,0,,,,,,,,,Morocco
Amine Sbai,"FW,MF",25-238,0.0,0,,,,,,,,,Morocco
Denzel Dumfries,"DF,MF",30-074,4.0,4,390.0,4.3,0.0,2.0,0.0,0.0,0.0,0.46,Netherlands
Jan Paul van Hecke,DF,26-023,4.0,4,390.0,4.3,1.0,0.0,0.0,0.0,0.23,0.0,Netherlands
Virgil van Dijk,DF,34-358,4.0,4,390.0,4.3,1.0,1.0,0.0,0.0,0.23,0.23,Netherlands
Bart Verbruggen,GK,23-317,4.0,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
Cody Gakpo,FW,27-055,4.0,4,368.0,4.1,3.0,1.0,0.0,0.0,0.73,0.24,Netherlands
Ryan Gravenberch,MF,24-046,4.0,4,345.0,3.8,0.0,2.0,0.0,0.0,0.0,0.52,Netherlands
Frenkie de Jong,MF,29-050,4.0,4,328.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
Micky van de Ven,"DF,MF",25-073,3.0,3,265.0,2.9,0.0,0.0,1.0,0.0,0.0,0.0,Netherlands
Brian Brobbey,FW,24-150,4.0,3,223.0,2.5,3.0,0.0,0.0,0.0,1.21,0.0,Netherlands
Tijjani Reijnders,MF,27-337,3.0,3,199.0,2.2,0.0,1.0,0.0,0.0,0.0,0.45,Netherlands
Donyell Malen,FW,27-173,3.0,3,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
Crysencio Summerville,FW,24-244,4.0,2,253.0,2.8,2.0,2.0,1.0,0.0,0.71,0.71,Netherlands
Nathan Aké,DF,31-133,3.0,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
Teun Koopmeiners,"DF,MF",28-123,4.0,0,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
Quinten Timber,MF,25-014,2.0,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
Memphis,"FW,MF",32-138,3.0,0,54.0,0.6,0.0,1.0,1.0,0.0,0.0,1.67,Netherlands
Wout Weghorst,FW,33-328,1.0,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
Jorrel Hato,DF,20-116,1.0,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
