Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country
Kevin Danso,DF,27-289,4.0,2,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,Austria
Paul Wanner,MF,20-194,4.0,2,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,Austria
Michael Gregoritsch,FW,32-078,3.0,2,188.0,2.1,0.0,1.0,0.0,0.0,0.0,0.48,Austria
Philipp Lienhart,DF,29-359,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Austria
Phillipp Mwene,DF,32-157,2.0,2,147.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,Austria
Marko Arnautović,FW,37-077,4.0,1,144.0,1.6,2.0,0.0,1.0,0.0,1.25,0.0,Austria
Saša Kalajdžić,FW,28-363,3.0,1,77.0,0.9,1.0,0.0,0.0,0.0,1.17,0.0,Austria
Florian Grillitsch,"DF,MF",30-332,2.0,0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Austria
Carney Chukwuemeka,MF,22-258,3.0,0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Austria
Alexander Prass,"DF,MF",25-040,2.0,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Austria
Marco Friedl,DF,28-111,1.0,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Austria
Patrick Wimmer,"FW,MF",25-036,2.0,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Austria
David Affengruber,DF,25-108,0.0,0,,,,,,,,,Austria
Dejan Ljubičić,MF,28-270,0.0,0,,,,,,,,,Austria
Patrick Pentz,GK,29-184,0.0,0,,,,,,,,,Austria
Alessandro Schöpf,MF,32-148,0.0,0,,,,,,,,,Austria
Michael Svoboda,DF,27-263,0.0,0,,,,,,,,,Austria
Florian Wiegele,GK,25-106,0.0,0,,,,,,,,,Austria
Thibaut Courtois,GK,34-055,,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Belgium
Brandon Mechele,DF,33-158,,4,390.0,4.3,0.0,0.0,1.0,0.0,0.0,0.0,Belgium
Youri Tielemans,MF,29-059,,4,384.0,4.3,2.0,0.0,0.0,0.0,0.47,0.0,Belgium
